dataset,model,scenario,region,variable,unit,year,occurrences,duplicate_values
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Distribution losses|Electricity,GWh,2023,2,"[2198.223, 2198.223]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Distribution losses|Heat,GWh,2023,2,"[7390.816, 7390.816]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Distribution losses|Natural gas,GWh,2023,2,"[37.328, 37.328]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Exports|Electricity,GWh,2023,2,"[16697.517, 16697.517]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Exports|Natural,GWh,2023,2,"[84180.572, 84180.572]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Imports|Electricity,GWh,2023,2,"[19830.928, 19830.928]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Imports|Heat,GWh,2023,2,"[31.649, 31.649]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,DK,Imports|Natural gas,GWh,2023,2,"[86253.474, 86253.474]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Demand|Electricity|Energy Sector,GWh,2023,2,"[11076.46, 11076.46]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Demand|Heat|Energy Sector,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Demand|Natural gas|Energy Sector,GWh,2023,2,"[5734.672, 5734.672]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Distribution losses|Electricity,GWh,2023,2,"[37130.685, 37130.685]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Distribution losses|Heat,GWh,2023,2,"[5374.479, 5374.479]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Distribution losses|Natural gas,GWh,2023,2,"[3664.644, 3664.644]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Exports|Electricity,GWh,2023,2,"[75903.55, 75903.55]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Exports|Natural,GWh,2023,2,"[140292.667, 140292.667]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Imports|Electricity,GWh,2023,2,"[25431.848, 25431.848]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Imports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,FR,Imports|Natural gas,GWh,2023,2,"[478737.725, 478737.725]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Demand|Electricity|Energy Sector,GWh,2023,2,"[4798.278, 4798.278]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Demand|Heat|Energy Sector,GWh,2023,2,"[3083.578, 3083.578]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Demand|Natural gas|Energy Sector,GWh,2023,2,"[9239.208, 9239.208]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Distribution losses|Electricity,GWh,2023,2,"[5028.224, 5028.224]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Distribution losses|Heat,GWh,2023,2,"[2116.548, 2116.548]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Distribution losses|Natural gas,GWh,2023,2,"[13.178, 13.178]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Exports|Electricity,GWh,2023,2,"[25206.139, 25206.139]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Exports|Natural,GWh,2023,2,"[166247.054, 166247.054]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Imports|Electricity,GWh,2023,2,"[19546.606, 19546.606]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Imports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NL,Imports|Natural gas,GWh,2023,2,"[336150.828, 336150.828]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Demand|Electricity|Energy Sector,GWh,2023,2,"[10882.174, 10882.174]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Demand|Heat|Energy Sector,GWh,2023,2,"[15.9189999999999, 15.9189999999999]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Demand|Natural gas|Energy Sector,GWh,2023,2,"[42902.28, 42902.28]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Distribution losses|Electricity,GWh,2023,2,"[7335.0, 7335.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Distribution losses|Heat,GWh,2023,2,"[807.985, 807.985]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Distribution losses|Natural gas,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Exports|Electricity,GWh,2023,2,"[30977.995, 30977.995]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Exports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Exports|Natural,GWh,2023,2,"[1151452.396, 1151452.396]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Imports|Electricity,GWh,2023,2,"[13240.0, 13240.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Imports|Heat,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO,Imports|Natural gas,GWh,2023,2,"[1014.461, 1014.461]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Electricity,GWh,2023,2,"[267.28142448273, 144.608956114282]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Gases|Biomass,GWh,2023,2,"[0.0, 0.0239601820664807]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Gases|Gas,GWh,2023,2,"[8.3210655270748, 3.96595468159498]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Geothermal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Heat,GWh,2023,2,"[0.987334509603815, 0.452520711301034]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Liquids|Biomass,GWh,2023,2,"[0.0, 0.0894422705549878]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Solar,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Solids|Biomass,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Agriculture|Solids|Coal,GWh,2023,2,"[0.0, 0.0]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Residential and Commercial|Electricity,GWh,2023,2,"[8045.28466103318, 4352.79114037133]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Residential and Commercial|Gases|Biomass,GWh,2023,2,"[0.0, 9.2140513785429]"
Sector models shares,GeoMEC_N2 v0.1.0,Unknown,NO02,Final Energy|Residential and Commercial|Gases|Gas,GWh,2023,2,"[17.1712665027595, 8.18410389317949]"
